1,2,3,4,5,6,7,8,9,10,11,12,13,14
76.7,76.1,75.7,76.3,75.7,75.8,75.3,75.6,75.3,75.2,74.7,76.1,,
74.8,75.3,74.8,75.8,75.1,75.8,75.1,75.3,74.6,75,74.4,75.6,,
74.8,76.2,75.5,75.5,74.9,74.9,73.9,74.6,73.9,75.3,74.5,75.1,,
73.6,74.4,74,74.7,73.8,74.8,74.4,74.6,73.3,74.6,73.9,74.2,73.7,74.3
73.4,74.5,73.8,74.1,72.9,73.6,73.2,73.6,73.2,73.5,73,74.1,,
73.5,74.1,72.9,72.9,72.4,72.8,72.4,73.7,72.8,74.2,,,,
73.8,74.2,73.4,73.7,72.9,73.4,73,73.3,72.9,73.9,73,73.4,,
72.7,73.8,72.9,73.5,72.3,72.5,71.9,72.6,71.5,74,,,,
73.2,73.8,73,73.4,72.2,73,72.7,73.5,72.7,72.8,72.3,72.5,72.1,72.9
72.5,73.4,72.4,72.9,72.3,72.7,71.8,72.5,71.8,72.8,72.2,73.1,,
72.4,72.4,71.3,72.7,71.8,72.3,71.8,72.2,71.2,72.2,,,,
72.2,73.4,72.6,73,71.4,72.4,71.8,72.3,71.8,72.5,71.9,72.4,71.7,73
71.8,72.3,71,72,71.3,72.1,71.4,71.7,71.1,72.2,71.5,72.4,71.6,72.3
71.6,71.8,71.2,72.3,71.5,72,71.4,71.5,70.8,72.2,71.5,72.6,,
72.3,72.5,72.3,73.3,72.2,72.5,71.9,72.5,71.8,72.5,72.1,72.5,,
72,72.5,71.6,72.3,71.4,72.1,71.6,72.3,71.2,72,,,,
